Iceland,1.112\n
Ireland,1.303\n
Austria,1.313\n
New Zealand,1.323\n
Singapore,1.339\n
Switzerland,1.35\n
Portugal,1.372\n
Denmark,1.382\n
Slovenia,1.395\n
Malaysia,1.427\n
Canada,1.449\n
Czech Republic,1.459\n
Finland,1.474\n
Hungary,1.502\n
Croatia,1.504\n
Belgium,1.51\n
Japan,1.525\n
Netherlands,1.527\n
Australia,1.536\n
Germany,1.542\n
Bhutan,1.564\n
Mauritius,1.577\n
Spain,1.597\n
Estonia,1.615\n
Kuwait,1.622\n
Bulgaria,1.629\n
Slovakia,1.634\n
Norway,1.638\n
Qatar,1.656\n
Latvia,1.661\n
Lithuania,1.672\n
Poland,1.678\n
Italy,1.692\n
United Kingdom,1.703\n
Montenegro,1.746\n
Romania,1.755\n
Oman,1.761\n
North Macedonia,1.764\n
Sweden,1.782\n
Greece,1.793\n
Vietnam,1.802\n
Albania,1.809\n
Taiwan,1.818\n
Madagascar,1.838\n
Mongolia,1.845\n
South Korea,1.848\n
Argentina,1.855\n
Indonesia,1.857\n
Laos,1.861\n
Botswana,1.863\n
East Timor,1.882\n
Uruguay,1.893\n
United Arab Emirates,1.897\n
Serbia,1.93\n
Ghana,1.938\n
Kosovo,1.945\n
Zambia,1.948\n
Costa Rica,1.95\n
Kazakhstan,1.954\n
Uzbekistan,1.957\n
Bosnia and Herzegovina,1.961\n
Namibia,1.972\n
Moldova,1.976\n
Chile,1.978\n
Tanzania,1.987\n
Sierra Leone,1.993\n
Jordan,1.998\n
Bolivia,2.009\n
Liberia,2.025\n
Cambodia,2.028\n
Tajikistan,2.035\n
Angola,2.043\n
Paraguay,2.044\n
Tunisia,2.044\n
Thailand,2.048\n
Armenia,2.052\n
Kyrgyzstan,2.053\n
Morocco,2.054\n
Malawi,2.063\n
Nepal,2.069\n
Bahrain,2.072\n
The Gambia,2.079\n
Turkmenistan,2.079\n
Senegal,2.084\n
Guinea-Bissau,2.085\n
France,2.088\n
Trinidad and Tobago,2.092\n
China,2.101\n
Cyprus,2.101\n
Algeria,2.11\n
Jamaica,2.119\n
Rwanda,2.12\n
Bangladesh,2.126\n
Equatorial Guinea,2.132\n
Mauritania,2.136\n
Panama,2.14\n
Dominican Republic,2.157\n
Cuba,2.16\n
Peru,2.179\n
Georgia,2.195\n
Sri Lanka,2.195\n
Saudi Arabia,2.206\n
Eswatini,2.209\n
Philippines,2.21\n
Egypt,2.212\n
Azerbaijan,2.248\n
El Salvador,2.25\n
Mozambique,2.25\n
Ivory Coast,2.255\n
Republic of the Congo,2.261\n
Guyana,2.286\n
Belarus,2.291\n
Nicaragua,2.295\n
Benin,2.306\n
Papua New Guinea,2.315\n
India,2.319\n
Guatemala,2.332\n
Gabon,2.372\n
Djibouti,2.374\n
Togo,2.381\n
Zimbabwe,2.396\n
Kenya,2.409\n
Honduras,2.415\n
Guinea,2.423\n
Lesotho,2.461\n
Uganda,2.477\n
South Africa,2.507\n
Libya,2.528\n
Burundi,2.567\n
Ecuador,2.572\n
Brazil,2.589\n
United States,2.622\n
Iran,2.682\n
Lebanon,2.693\n
Chad,2.704\n
Eritrea,2.748\n
Cameroon,2.773\n
Mexico,2.778\n
Turkey,2.78\n
Pakistan,2.783\n
Niger,2.792\n
Venezuela,2.821\n
Haiti,2.827\n
Ethiopia,2.845\n
Palestine,2.872\n
Colombia,2.887\n
Nigeria,2.907\n
Myanmar,2.943\n
Burkina Faso,2.969\n
Central African Republic,3.009\n
Iraq,3.045\n
North Korea,3.055\n
Somalia,3.091\n
Mali,3.095\n
Israel,3.115\n
Syria,3.173\n
Russia,3.249\n
Democratic Republic of the Congo,3.264\n
Ukraine,3.28\n
Afghanistan,3.294\n
South Sudan,3.324\n
Sudan,3.327\n
Yemen,3.397\n
